PopSize,MutationProbgene,MutationProbIndividual,CrossoverProb,ElitismProb,NumberOfGenerations,BestFitness,RealReturn,
500,0.01,0.3,0.1,0.8,1000,127.77393,0.34980486517254195,
500,0.01,0.3,0.2,0.1,200,2.1181626,0.12186239161763683,
500,0.01,0.3,0.2,0.1,500,-225.88678,0.08882306916908547,
500,0.01,0.3,0.2,0.1,1000,-175.16016,0.11279654616492757,
500,0.01,0.3,0.2,0.15,200,5.3207397,0.25302750246173816,
500,0.01,0.3,0.2,0.15,500,0.085586205,0.47262262403050387,
500,0.01,0.3,0.2,0.15,1000,-913.7953,0.12942768070865057,
500,0.01,0.3,0.2,0.2,200,15.892462,0.31382305267882155,
500,0.01,0.3,0.2,0.2,500,-264.60532,0.12546771588853023,
500,0.01,0.3,0.2,0.2,1000,-262.13687,0.2419455608037717,
500,0.01,0.3,0.2,0.5,200,60.923763,0.3445957126845033,
500,0.01,0.3,0.2,0.5,500,58.164894,0.18293061521025689,
500,0.01,0.3,0.2,0.5,1000,-4.929609,0.3263928252410174,
500,0.01,0.3,0.2,0.8,200,98.68436,0.4833036748184612,
500,0.01,0.3,0.2,0.8,500,68.066765,0.12331019668366353,
500,0.01,0.3,0.2,0.8,1000,93.653625,0.1930526178176556,
500,0.01,0.3,0.3,0.1,200,0.9314181,0.16777919716432974,
